Descritpion_ID,Top_20_Image_IDs
152.txt,1344.jpg 1475.jpg 1482.jpg 1413.jpg 663.jpg 871.jpg 1119.jpg 1291.jpg 979.jpg 1980.jpg 1942.jpg 868.jpg 393.jpg 1040.jpg 633.jpg 821.jpg 1919.jpg 609.jpg 1648.jpg 1553.jpg
901.txt,248.jpg 1583.jpg 277.jpg 805.jpg 1387.jpg 283.jpg 1766.jpg 1884.jpg 1501.jpg 1666.jpg 551.jpg 284.jpg 710.jpg 1594.jpg 476.jpg 195.jpg 800.jpg 923.jpg 1630.jpg 1397.jpg
1609.txt,21.jpg 484.jpg 1131.jpg 575.jpg 1629.jpg 1161.jpg 112.jpg 1466.jpg 1561.jpg 206.jpg 95.jpg 1749.jpg 619.jpg 956.jpg 1219.jpg 252.jpg 1606.jpg 978.jpg 983.jpg 1384.jpg
501.txt,1570.jpg 1197.jpg 574.jpg 559.jpg 679.jpg 663.jpg 1292.jpg 1031.jpg 393.jpg 664.jpg 1902.jpg 1163.jpg 103.jpg 1927.jpg 293.jpg 431.jpg 1195.jpg 372.jpg 741.jpg 711.jpg
517.txt,462.jpg 876.jpg 1649.jpg 178.jpg 27.jpg 520.jpg 1293.jpg 1303.jpg 1055.jpg 1419.jpg 1332.jpg 108.jpg 1531.jpg 782.jpg 1958.jpg 596.jpg 424.jpg 855.jpg 1687.jpg 293.jpg
1822.txt,910.jpg 897.jpg 1289.jpg 156.jpg 1151.jpg 655.jpg 1940.jpg 262.jpg 1444.jpg 996.jpg 1275.jpg 458.jpg 414.jpg 555.jpg 1465.jpg 217.jpg 1933.jpg 1311.jpg 1265.jpg 623.jpg
1993.txt,1784.jpg 352.jpg 1793.jpg 1091.jpg 991.jpg 1474.jpg 108.jpg 564.jpg 1942.jpg 851.jpg 635.jpg 1142.jpg 1317.jpg 741.jpg 1399.jpg 1478.jpg 1938.jpg 1811.jpg 1985.jpg 462.jpg
832.txt,1182.jpg 988.jpg 548.jpg 1257.jpg 1159.jpg 470.jpg 1951.jpg 713.jpg 746.jpg 1014.jpg 1252.jpg 95.jpg 4.jpg 1299.jpg 886.jpg 963.jpg 919.jpg 1221.jpg 1549.jpg 1293.jpg
1462.txt,275.jpg 933.jpg 1357.jpg 145.jpg 1301.jpg 1189.jpg 716.jpg 737.jpg 1831.jpg 258.jpg 1552.jpg 824.jpg 1128.jpg 203.jpg 190.jpg 474.jpg 1571.jpg 884.jpg 1358.jpg 550.jpg
1718.txt,393.jpg 1067.jpg 1998.jpg 625.jpg 1906.jpg 1168.jpg 928.jpg 660.jpg 303.jpg 662.jpg 993.jpg 523.jpg 1909.jpg 990.jpg 1946.jpg 679.jpg 472.jpg 664.jpg 167.jpg 257.jpg
1303.txt,260.jpg 904.jpg 838.jpg 1338.jpg 1455.jpg 42.jpg 1927.jpg 1292.jpg 1471.jpg 60.jpg 3.jpg 1421.jpg 523.jpg 393.jpg 511.jpg 781.jpg 1656.jpg 1183.jpg 979.jpg 1023.jpg
874.txt,1376.jpg 1012.jpg 1990.jpg 777.jpg 1984.jpg 1364.jpg 972.jpg 929.jpg 673.jpg 439.jpg 128.jpg 1952.jpg 370.jpg 518.jpg 440.jpg 269.jpg 194.jpg 214.jpg 64.jpg 87.jpg
1507.txt,520.jpg 1687.jpg 462.jpg 27.jpg 855.jpg 1531.jpg 1419.jpg 1293.jpg 1649.jpg 1332.jpg 1303.jpg 596.jpg 876.jpg 533.jpg 564.jpg 1958.jpg 178.jpg 1055.jpg 889.jpg 490.jpg
858.txt,1302.jpg 704.jpg 1719.jpg 624.jpg 954.jpg 1491.jpg 54.jpg 1887.jpg 1210.jpg 1251.jpg 987.jpg 886.jpg 627.jpg 183.jpg 418.jpg 1488.jpg 409.jpg 1220.jpg 1468.jpg 756.jpg
1722.txt,473.jpg 562.jpg 1941.jpg 1161.jpg 1099.jpg 150.jpg 1117.jpg 1735.jpg 1451.jpg 1181.jpg 1510.jpg 1631.jpg 1474.jpg 435.jpg 674.jpg 1597.jpg 1843.jpg 1316.jpg 1782.jpg 76.jpg
1169.txt,1601.jpg 587.jpg 888.jpg 1733.jpg 1742.jpg 179.jpg 238.jpg 331.jpg 428.jpg 1134.jpg 76.jpg 1017.jpg 1559.jpg 211.jpg 635.jpg 850.jpg 1550.jpg 1824.jpg 1199.jpg 1988.jpg
261.txt,1023.jpg 696.jpg 821.jpg 1482.jpg 496.jpg 1421.jpg 904.jpg 393.jpg 1656.jpg 1031.jpg 1665.jpg 15.jpg 476.jpg 883.jpg 1183.jpg 3.jpg 1084.jpg 338.jpg 768.jpg 260.jpg
1756.txt,1683.jpg 1825.jpg 966.jpg 164.jpg 1374.jpg 95.jpg 1576.jpg 1631.jpg 216.jpg 830.jpg 1417.jpg 1066.jpg 912.jpg 1935.jpg 1181.jpg 1535.jpg 1243.jpg 473.jpg 1619.jpg 1219.jpg
725.txt,1320.jpg 1216.jpg 1855.jpg 1493.jpg 1607.jpg 97.jpg 1660.jpg 1060.jpg 1790.jpg 1889.jpg 1693.jpg 814.jpg 203.jpg 1991.jpg 771.jpg 993.jpg 1998.jpg 1020.jpg 1727.jpg 1815.jpg
1209.txt,398.jpg 1164.jpg 680.jpg 399.jpg 748.jpg 1853.jpg 646.jpg 1508.jpg 1605.jpg 962.jpg 180.jpg 1211.jpg 1008.jpg 1460.jpg 1027.jpg 1487.jpg 1739.jpg 938.jpg 304.jpg 607.jpg
1005.txt,664.jpg 710.jpg 1946.jpg 581.jpg 1993.jpg 588.jpg 679.jpg 420.jpg 283.jpg 300.jpg 982.jpg 404.jpg 1847.jpg 844.jpg 362.jpg 24.jpg 1013.jpg 1611.jpg 459.jpg 873.jpg
1381.txt,1950.jpg 1570.jpg 338.jpg 823.jpg 505.jpg 175.jpg 561.jpg 1883.jpg 1040.jpg 231.jpg 1023.jpg 1197.jpg 322.jpg 1380.jpg 1962.jpg 1611.jpg 781.jpg 979.jpg 1648.jpg 883.jpg
1162.txt,1700.jpg 1594.jpg 1118.jpg 1191.jpg 1533.jpg 1429.jpg 1913.jpg 539.jpg 614.jpg 1630.jpg 1144.jpg 1222.jpg 1484.jpg 476.jpg 696.jpg 445.jpg 328.jpg 338.jpg 333.jpg 600.jpg
1548.txt,282.jpg 1231.jpg 687.jpg 1597.jpg 150.jpg 265.jpg 1462.jpg 562.jpg 305.jpg 1269.jpg 360.jpg 1161.jpg 1446.jpg 726.jpg 1451.jpg 912.jpg 46.jpg 808.jpg 1243.jpg 348.jpg
1943.txt,710.jpg 1946.jpg 1604.jpg 327.jpg 404.jpg 1467.jpg 283.jpg 300.jpg 664.jpg 1666.jpg 195.jpg 241.jpg 581.jpg 1104.jpg 1947.jpg 1766.jpg 1829.jpg 679.jpg 362.jpg 551.jpg
422.txt,128.jpg 1012.jpg 1376.jpg 1893.jpg 214.jpg 1364.jpg 673.jpg 1984.jpg 688.jpg 64.jpg 1235.jpg 777.jpg 87.jpg 1736.jpg 1127.jpg 370.jpg 518.jpg 1782.jpg 525.jpg 1069.jpg
366.txt,1919.jpg 1547.jpg 633.jpg 1057.jpg 739.jpg 153.jpg 1553.jpg 1330.jpg 981.jpg 629.jpg 676.jpg 950.jpg 110.jpg 1960.jpg 371.jpg 691.jpg 1656.jpg 192.jpg 717.jpg 1443.jpg
1597.txt,1630.jpg 155.jpg 989.jpg 358.jpg 914.jpg 1903.jpg 728.jpg 1889.jpg 673.jpg 1132.jpg 951.jpg 249.jpg 172.jpg 1088.jpg 734.jpg 1224.jpg 1693.jpg 1218.jpg 267.jpg 512.jpg
1909.txt,1422.jpg 1873.jpg 1356.jpg 278.jpg 291.jpg 780.jpg 396.jpg 671.jpg 1058.jpg 665.jpg 1080.jpg 1478.jpg 324.jpg 1256.jpg 129.jpg 1845.jpg 499.jpg 1964.jpg 1490.jpg 1592.jpg
848.txt,471.jpg 1097.jpg 1215.jpg 1126.jpg 1070.jpg 731.jpg 960.jpg 1889.jpg 26.jpg 1207.jpg 249.jpg 825.jpg 1614.jpg 1492.jpg 1998.jpg 990.jpg 506.jpg 1514.jpg 805.jpg 834.jpg
15.txt,1999.jpg 1369.jpg 738.jpg 482.jpg 247.jpg 1839.jpg 198.jpg 1477.jpg 1141.jpg 1308.jpg 1184.jpg 668.jpg 1114.jpg 1102.jpg 107.jpg 644.jpg 1334.jpg 1615.jpg 314.jpg 149.jpg
1795.txt,1592.jpg 442.jpg 401.jpg 1080.jpg 125.jpg 1519.jpg 129.jpg 606.jpg 1548.jpg 40.jpg 524.jpg 1245.jpg 100.jpg 974.jpg 931.jpg 1317.jpg 352.jpg 610.jpg 387.jpg 1912.jpg
1357.txt,1468.jpg 1634.jpg 1093.jpg 60.jpg 1302.jpg 704.jpg 1123.jpg 1310.jpg 1251.jpg 298.jpg 1530.jpg 1711.jpg 1719.jpg 624.jpg 337.jpg 1031.jpg 410.jpg 1210.jpg 188.jpg 976.jpg
423.txt,770.jpg 1207.jpg 1097.jpg 829.jpg 1215.jpg 358.jpg 1187.jpg 1620.jpg 1736.jpg 1396.jpg 26.jpg 1765.jpg 636.jpg 1630.jpg 267.jpg 1727.jpg 289.jpg 1145.jpg 77.jpg 413.jpg
1230.txt,1460.jpg 696.jpg 1033.jpg 1183.jpg 1421.jpg 607.jpg 42.jpg 338.jpg 496.jpg 1656.jpg 904.jpg 1739.jpg 1487.jpg 184.jpg 3.jpg 1211.jpg 600.jpg 1338.jpg 1040.jpg 60.jpg
1482.txt,685.jpg 1270.jpg 1857.jpg 1488.jpg 1961.jpg 975.jpg 689.jpg 987.jpg 1085.jpg 448.jpg 1249.jpg 481.jpg 1328.jpg 1694.jpg 1155.jpg 1285.jpg 409.jpg 627.jpg 168.jpg 1239.jpg
940.txt,673.jpg 87.jpg 584.jpg 52.jpg 518.jpg 1254.jpg 512.jpg 1974.jpg 1633.jpg 1926.jpg 914.jpg 1088.jpg 1913.jpg 1551.jpg 172.jpg 1154.jpg 1115.jpg 1307.jpg 1630.jpg 81.jpg
1198.txt,1545.jpg 759.jpg 1356.jpg 454.jpg 924.jpg 385.jpg 1264.jpg 1066.jpg 707.jpg 491.jpg 1854.jpg 780.jpg 1805.jpg 1019.jpg 1554.jpg 39.jpg 733.jpg 1007.jpg 438.jpg 219.jpg
1367.txt,1182.jpg 713.jpg 1160.jpg 890.jpg 988.jpg 1549.jpg 1951.jpg 622.jpg 596.jpg 1531.jpg 462.jpg 548.jpg 424.jpg 1293.jpg 1986.jpg 816.jpg 1332.jpg 855.jpg 1252.jpg 1257.jpg
