Descritpion_ID,Top_20_Image_IDs
152.txt,1040.jpg 338.jpg 1380.jpg 1648.jpg 609.jpg 1475.jpg 785.jpg 871.jpg 991.jpg 19.jpg 153.jpg 669.jpg 1023.jpg 760.jpg 546.jpg 1668.jpg 979.jpg 1501.jpg 1031.jpg 1094.jpg
901.txt,1656.jpg 1918.jpg 883.jpg 1031.jpg 805.jpg 221.jpg 1517.jpg 15.jpg 625.jpg 691.jpg 821.jpg 371.jpg 1905.jpg 472.jpg 431.jpg 1910.jpg 539.jpg 1261.jpg 272.jpg 393.jpg
1609.txt,1243.jpg 936.jpg 305.jpg 1127.jpg 608.jpg 1682.jpg 93.jpg 995.jpg 1420.jpg 1462.jpg 912.jpg 742.jpg 1850.jpg 576.jpg 150.jpg 1231.jpg 95.jpg 359.jpg 68.jpg 206.jpg
501.txt,1066.jpg 176.jpg 1527.jpg 187.jpg 674.jpg 635.jpg 1021.jpg 1281.jpg 1435.jpg 1988.jpg 139.jpg 991.jpg 1478.jpg 839.jpg 211.jpg 1163.jpg 773.jpg 313.jpg 158.jpg 633.jpg
517.txt,855.jpg 1531.jpg 1332.jpg 533.jpg 1293.jpg 1419.jpg 462.jpg 596.jpg 1495.jpg 1303.jpg 178.jpg 1649.jpg 27.jpg 1939.jpg 876.jpg 1958.jpg 520.jpg 424.jpg 889.jpg 1687.jpg
1822.txt,1289.jpg 897.jpg 655.jpg 1151.jpg 262.jpg 1377.jpg 156.jpg 910.jpg 555.jpg 718.jpg 217.jpg 623.jpg 1940.jpg 1312.jpg 1444.jpg 1885.jpg 414.jpg 535.jpg 1275.jpg 996.jpg
1993.txt,1784.jpg 1474.jpg 659.jpg 1908.jpg 395.jpg 991.jpg 856.jpg 1317.jpg 1938.jpg 1942.jpg 1793.jpg 1281.jpg 352.jpg 1770.jpg 665.jpg 1935.jpg 1868.jpg 924.jpg 1478.jpg 1386.jpg
832.txt,988.jpg 713.jpg 548.jpg 1951.jpg 1549.jpg 1159.jpg 1182.jpg 746.jpg 1293.jpg 95.jpg 4.jpg 1014.jpg 1299.jpg 22.jpg 1257.jpg 596.jpg 1531.jpg 890.jpg 1160.jpg 622.jpg
1462.txt,275.jpg 933.jpg 190.jpg 203.jpg 1357.jpg 1301.jpg 550.jpg 1571.jpg 145.jpg 1128.jpg 1189.jpg 737.jpg 258.jpg 1767.jpg 1358.jpg 1831.jpg 148.jpg 1595.jpg 474.jpg 1727.jpg
1718.txt,1906.jpg 1168.jpg 1067.jpg 928.jpg 662.jpg 393.jpg 679.jpg 993.jpg 1998.jpg 1752.jpg 257.jpg 303.jpg 1909.jpg 825.jpg 1493.jpg 1946.jpg 675.jpg 1656.jpg 406.jpg 1228.jpg
1303.txt,1475.jpg 696.jpg 1482.jpg 1421.jpg 184.jpg 1471.jpg 496.jpg 1031.jpg 1366.jpg 42.jpg 1033.jpg 1413.jpg 979.jpg 505.jpg 663.jpg 1648.jpg 1437.jpg 1040.jpg 1962.jpg 1119.jpg
